"departamento","año","mes","fecha","Analfabetismo","Bajo_logro_educativo","Barreras_acceso_salud","Desempleo_larga_duracion","Inasistencia_escolar","Rezago_escolar","Sin_aseguramiento_salud","Trabajo_informal","IPM_Total","Vida_general","Salud","Seguridad","Trabajo_actividad","Tiempo_libre","Ingreso","Propia_totalmente_pagada","Propia_la_estan_pagando","En_arriendo_o_subarriendo","Con_permiso_sin_pago","Posesion_sin_titulo","Propiedad_colectiva","Deficit_cuantitativo","Deficit_cualitativo","Deficit_habitacional","No_alcanzan_gastos_minimos","Alcanzan_gastos_minimos","Cubren_mas_gastos_minimos","Pobreza_monetaria","No_pobres","Energia","Gas_natural","Acueducto","Alcantarillado","Recoleccion_basura","Telefono_fijo","Ningun_servicio","precipitacion_promedio","temperatura_promedio","ndvi_promedio","IPC_Total","FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","FIES_moderado_grave","FIES_grave","clave"
"Vichada",2022,"enero","2022-01-01",25,75.3,0.2,35.8,20.9,39.7,19,95.2,75.4,7.5,7.4,7.4,6.8,7.1,6.8,29.1,0.3,16,8.5,11.7,34.4,26.6,67.6,94.2,51.1,46.9,2,85.8,14.2,45.1,0,36.8,2,32.8,0.4,51.9,0.364291338283357,29.36284785365,0.518239503605472,131.19,32.8354851146547,22.0816395609493,32.4230227345182,37.3802327754854,29.3677287102373,22.2990324538806,29.5014504540519,18.1218413143683,30.7,9.2,"Vichada_2022_enero"
"Amazonas",2022,"febrero","2022-02-01",8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6,27.9,8.5,8.3,7.7,7.9,8.2,7.5,20.1,0.3,20.3,7.6,7.9,43.7,61.3,23.3,84.5,43.9,52.2,3.9,54.6,45.4,83.2,0,43.3,42.3,53.3,0.4,13.6,11.1534821784476,25.6882973128509,0.398907602061523,134.79,25.8142922876437,18.357741717857,22.1858310997888,22.4887589809826,18.4394398610558,10.2903411475485,12.8630463210001,6.63570097359259,18.6,3.4,"Amazonas_2022_febrero"
"Antioquia",2022,"febrero","2022-02-01",7,39.9,0.4,14,1.5,22.9,6.3,66,10.7,8.2,7.9,8,7.4,7.6,7.1,37.7,3.4,45.3,10,1.4,2.2,4.8,19.8,24.7,34.4,54.6,11,48.7,51.3,99.9,64.5,93.1,80.9,91.6,24.2,0,6.57893060065911,22.2037458213789,0.625664353691352,137.15,28.9776494098221,25.5683459382339,30.7016529737146,21.4611691893927,21.441137629258,11.9367417019482,12.4893707278312,2.46178936625471,20.9,3.3,"Antioquia_2022_febrero"
"Arauca",2022,"febrero","2022-02-01",7.6,60.4,0.2,13.7,3.9,24.3,15.4,93.4,22.6,8,7.9,7.4,7,7.4,6.8,34.3,0.8,32.2,20.4,11.5,0.8,30.3,22.6,52.9,48,49.6,2.4,74.5,25.5,99.5,12.6,73,54.9,64.4,1.4,0.4,0.816622851273672,28.5118617233401,0.511805158644829,134.79,48.0614891449274,43.6959153809369,46.9254550427781,39.4762997022012,40.2955819434759,25.6449015502785,26.776481576395,5.84975892667265,39.3,11,"Arauca_2022_febrero"
"Atlantico",2022,"febrero","2022-02-01",7,28.1,1.5,11.2,1.8,30.2,9.1,75.9,10.2,8,8.1,7.1,6.9,7.5,6.6,45.7,2.3,31.4,16.4,3.9,0.3,3.5,28,31.5,52.9,40.6,6.5,56.9,43.1,99.9,93.1,97.7,87,96,26.4,0.1,0.215832927793521,29.7959872888616,0.491840052491075,135.28,56.4978490780716,49.4878952293017,57.2027355366446,44.3576814180444,44.5872665841871,23.224654809488,23.7941821511397,3.87259533547496,46.1,8.3,"Atlantico_2022_febrero"
"Bogotá",2022,"febrero","2022-02-01",1.8,21.7,4.3,12.1,1.3,18.8,13.1,54.2,3.8,7.8,7.7,6.4,6.8,7.1,6.6,31.2,7.5,52.7,6.7,1,1,1.4,9.8,11.2,28.5,56.8,14.7,32.3,67.7,100,93.5,99.6,99.1,99.6,41.1,0,4.41855512550531,18.1312225172363,0.500614507892428,138.3,31.569981693233,35.3777627774646,33.6430068967181,22.0437040346468,24.5413509632342,11.1792160007788,14.5120857302647,4.03804872632246,25.4,4.2,"Bogotá_2022_febrero"
"Bolivar",2022,"febrero","2022-02-01",12.4,45.8,0.3,12.1,3,28.9,5.5,83.7,19.4,8.3,8.2,7.7,7.6,7.8,7.2,35.6,1.2,25.7,16.3,15,6.3,14.3,44.8,59.1,61.7,32.9,5.4,66.9,33.1,98.5,67.2,86.1,50.8,75.7,8.8,1,2.09055514542724,27.9597596396394,0.612837285471455,135.01,42.5049370072124,33.9210045043877,38.7649350131987,30.6848294111701,31.4195081377923,16.0807238706993,16.7711517254806,6.99573133721892,32.6,5.1,"Bolivar_2022_febrero"
"Boyaca",2022,"febrero","2022-02-01",6.3,48.3,2,16,2,23,5.2,77.5,9.6,7.5,7.2,7.3,6.7,6.8,6,36.8,4.1,38.4,15.6,2.6,2.5,2.8,21.2,24,36.8,59.3,3.9,43.4,56.6,99.4,63.3,89.5,65.6,67.1,2.3,0.3,3.30333613843074,16.4723709965338,0.593105312979406,138.13,26.6121531749414,30.460855205261,30.2043319667642,20.2203334319548,18.3861179025281,6.15744755841422,9.76524890330191,1.94166158278374,20.7,2.1,"Boyaca_2022_febrero"
"Caldas",2022,"febrero","2022-02-01",7.4,45.8,1.5,18.2,1.3,20.7,6.3,68.4,10.5,8.4,8.1,8.3,7.9,7.9,7.3,34.9,6.5,40.7,15.3,1.6,1,2.9,18.6,21.4,32.2,56.2,11.6,33.4,66.6,99.8,70.6,92.1,83.6,86.6,20.4,0.1,9.40635002400885,18.4570827000021,0.645989848474472,139.2,20.6320132412398,20.639210582967,22.8700330388478,14.7958854863737,14.5224810691609,8.35373675354621,9.37173477666165,1.66136908955309,14.6,2.5,"Caldas_2022_febrero"
"Caqueta",2022,"febrero","2022-02-01",11.1,58,1.7,11.4,4.7,30.6,6.3,89.2,19.6,8.1,7.8,7.5,7.1,7.1,6.5,28.5,1.9,37.2,24.7,7.2,0.4,24.3,22.9,47.2,39.7,57.2,3.1,69.1,30.9,97.4,46.4,80.6,64.1,74.9,2.4,2.2,9.31011561648057,25.6350163257334,0.672878871458215,146.2,41.0223938049734,32.1008756597655,38.7412542846355,25.5719806810494,26.690421782507,12.0598461510258,12.4433135031199,1.7965397944437,27.2,3.2,"Caqueta_2022_febrero"
