Departamento,Año,Mes,leve_moderado,grave,moderada,inseguridad_alimentaria
Valle,2022,4,28.0,4.5,23.5,moderado
Valle,2022,5,28.0,4.5,23.5,moderado
Valle,2022,6,28.0,4.5,23.5,moderado
Valle,2022,7,28.0,4.5,23.5,moderado
Valle,2022,8,28.0,4.5,23.5,moderado
Valle,2022,9,28.0,4.5,23.5,moderado
Valle,2022,10,28.0,4.5,23.5,moderado
Valle,2022,11,28.0,4.5,23.5,moderado
Valle,2022,12,28.0,4.5,23.5,moderado
Vaupés,2022,1,36.5,8.7,27.8,severo
Vaupés,2022,2,36.5,8.7,27.8,severo
Vaupés,2022,3,36.5,8.7,27.8,severo
Vaupés,2022,4,36.5,8.7,27.8,severo
Vaupés,2022,5,36.5,8.7,27.8,severo
Vaupés,2022,6,36.5,8.7,27.8,severo
Vaupés,2022,7,36.5,8.7,27.8,severo
Vaupés,2022,8,36.5,8.7,27.8,severo
Vaupés,2022,9,36.5,8.7,27.8,severo
Vaupés,2022,10,36.5,8.7,27.8,severo
Vaupés,2022,11,36.5,8.7,27.8,severo
Vaupés,2022,12,36.5,8.7,27.8,severo
Vichada,2022,1,30.7,9.2,21.5,severo
Vichada,2022,2,30.7,9.2,21.5,severo
Vichada,2022,3,30.7,9.2,21.5,severo
Vichada,2022,4,30.7,9.2,21.5,severo
Vichada,2022,5,30.7,9.2,21.5,severo
Vichada,2022,6,30.7,9.2,21.5,severo
Vichada,2022,7,30.7,9.2,21.5,severo
Vichada,2022,8,30.7,9.2,21.5,severo
Vichada,2022,9,30.7,9.2,21.5,severo
Vichada,2022,10,30.7,9.2,21.5,severo
Vichada,2022,11,30.7,9.2,21.5,severo
Vichada,2022,12,30.7,9.2,21.5,severo
Amazonas,2023,1,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,2,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,3,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,4,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,5,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,6,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,7,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,8,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,9,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,10,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,11,20.6,5.2,15.400000000000002,moderado
Amazonas,2023,12,20.6,5.2,15.400000000000002,moderado
Antioquia,2023,1,21.6,3.0,18.6,moderado
Antioquia,2023,2,21.6,3.0,18.6,moderado
Antioquia,2023,3,21.6,3.0,18.6,moderado
Antioquia,2023,4,21.6,3.0,18.6,moderado
Antioquia,2023,5,21.6,3.0,18.6,moderado
Antioquia,2023,6,21.6,3.0,18.6,moderado
Antioquia,2023,7,21.6,3.0,18.6,moderado
Antioquia,2023,8,21.6,3.0,18.6,moderado
Antioquia,2023,9,21.6,3.0,18.6,moderado
Antioquia,2023,10,21.6,3.0,18.6,moderado
Antioquia,2023,11,21.6,3.0,18.6,moderado
Antioquia,2023,12,21.6,3.0,18.6,moderado
Arauca,2023,1,31.7,9.9,21.799999999999997,severo
Arauca,2023,2,31.7,9.9,21.799999999999997,severo
Arauca,2023,3,31.7,9.9,21.799999999999997,severo
Arauca,2023,4,31.7,9.9,21.799999999999997,severo
Arauca,2023,5,31.7,9.9,21.799999999999997,severo
Arauca,2023,6,31.7,9.9,21.799999999999997,severo
Arauca,2023,7,31.7,9.9,21.799999999999997,severo
Arauca,2023,8,31.7,9.9,21.799999999999997,severo
Arauca,2023,9,31.7,9.9,21.799999999999997,severo
Arauca,2023,10,31.7,9.9,21.799999999999997,severo
Arauca,2023,11,31.7,9.9,21.799999999999997,severo
Arauca,2023,12,31.7,9.9,21.799999999999997,severo
Atlántico,2023,1,35.8,8.5,27.299999999999997,severo
Atlántico,2023,2,35.8,8.5,27.299999999999997,severo
Atlántico,2023,3,35.8,8.5,27.299999999999997,severo
Atlántico,2023,4,35.8,8.5,27.299999999999997,severo
Atlántico,2023,5,35.8,8.5,27.299999999999997,severo
Atlántico,2023,6,35.8,8.5,27.299999999999997,severo
Atlántico,2023,7,35.8,8.5,27.299999999999997,severo
Atlántico,2023,8,35.8,8.5,27.299999999999997,severo
Atlántico,2023,9,35.8,8.5,27.299999999999997,severo
Atlántico,2023,10,35.8,8.5,27.299999999999997,severo
Atlántico,2023,11,35.8,8.5,27.299999999999997,severo
Atlántico,2023,12,35.8,8.5,27.299999999999997,severo
Bogotá D.C.,2023,1,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,2,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,3,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,4,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,5,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,6,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,7,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,8,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,9,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,10,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,11,21.2,4.7,16.5,moderado
Bogotá D.C.,2023,12,21.2,4.7,16.5,moderado
Bolívar,2023,1,32.9,6.2,26.7,moderado
Bolívar,2023,2,32.9,6.2,26.7,moderado
Bolívar,2023,3,32.9,6.2,26.7,moderado
Bolívar,2023,4,32.9,6.2,26.7,moderado
Bolívar,2023,5,32.9,6.2,26.7,moderado
Bolívar,2023,6,32.9,6.2,26.7,moderado
Bolívar,2023,7,32.9,6.2,26.7,moderado
Bolívar,2023,8,32.9,6.2,26.7,moderado
Bolívar,2023,9,32.9,6.2,26.7,moderado
Bolívar,2023,10,32.9,6.2,26.7,moderado
Bolívar,2023,11,32.9,6.2,26.7,moderado
Bolívar,2023,12,32.9,6.2,26.7,moderado
Boyacá,2023,1,16.7,1.5,15.2,moderado
Boyacá,2023,2,16.7,1.5,15.2,moderado
Boyacá,2023,3,16.7,1.5,15.2,moderado
Boyacá,2023,4,16.7,1.5,15.2,moderado
Boyacá,2023,5,16.7,1.5,15.2,moderado
Boyacá,2023,6,16.7,1.5,15.2,moderado
Boyacá,2023,7,16.7,1.5,15.2,moderado
Boyacá,2023,8,16.7,1.5,15.2,moderado
Boyacá,2023,9,16.7,1.5,15.2,moderado
Boyacá,2023,10,16.7,1.5,15.2,moderado
Boyacá,2023,11,16.7,1.5,15.2,moderado
Boyacá,2023,12,16.7,1.5,15.2,moderado
Caldas,2023,1,14.8,1.9,12.9,leve
Caldas,2023,2,14.8,1.9,12.9,leve
Caldas,2023,3,14.8,1.9,12.9,leve
Caldas,2023,4,14.8,1.9,12.9,leve
Caldas,2023,5,14.8,1.9,12.9,leve
Caldas,2023,6,14.8,1.9,12.9,leve
Caldas,2023,7,14.8,1.9,12.9,leve
Caldas,2023,8,14.8,1.9,12.9,leve
Caldas,2023,9,14.8,1.9,12.9,leve
Caldas,2023,10,14.8,1.9,12.9,leve
Caldas,2023,11,14.8,1.9,12.9,leve
Caldas,2023,12,14.8,1.9,12.9,leve
Caquetá,2023,1,13.7,1.2,12.5,leve
Caquetá,2023,2,13.7,1.2,12.5,leve
Caquetá,2023,3,13.7,1.2,12.5,leve
Caquetá,2023,4,13.7,1.2,12.5,leve
Caquetá,2023,5,13.7,1.2,12.5,leve
Caquetá,2023,6,13.7,1.2,12.5,leve
Caquetá,2023,7,13.7,1.2,12.5,leve
Caquetá,2023,8,13.7,1.2,12.5,leve
Caquetá,2023,9,13.7,1.2,12.5,leve
Caquetá,2023,10,13.7,1.2,12.5,leve
Caquetá,2023,11,13.7,1.2,12.5,leve
Caquetá,2023,12,13.7,1.2,12.5,leve
Casanare,2023,1,32.9,6.0,26.9,moderado
Casanare,2023,2,32.9,6.0,26.9,moderado
Casanare,2023,3,32.9,6.0,26.9,moderado
Casanare,2023,4,32.9,6.0,26.9,moderado
Casanare,2023,5,32.9,6.0,26.9,moderado
Casanare,2023,6,32.9,6.0,26.9,moderado
Casanare,2023,7,32.9,6.0,26.9,moderado
