departamento,año,mes,fecha,Pobreza_monetaria,No_pobres
Santander,2024,5,2024-01-01,30.0,70.0
Santander,2024,6,2024-01-01,30.0,70.0
Santander,2024,7,2024-01-01,30.0,70.0
Santander,2024,8,2024-01-01,30.0,70.0
Santander,2024,9,2024-01-01,30.0,70.0
Santander,2024,10,2024-01-01,30.0,70.0
Santander,2024,11,2024-01-01,30.0,70.0
Santander,2024,12,2024-01-01,30.0,70.0
Sucre,2024,1,2024-01-01,78.6,21.4
Sucre,2024,2,2024-01-01,78.6,21.4
Sucre,2024,3,2024-01-01,78.6,21.4
Sucre,2024,4,2024-01-01,78.6,21.4
Sucre,2024,5,2024-01-01,78.6,21.4
Sucre,2024,6,2024-01-01,78.6,21.4
Sucre,2024,7,2024-01-01,78.6,21.4
Sucre,2024,8,2024-01-01,78.6,21.4
Sucre,2024,9,2024-01-01,78.6,21.4
Sucre,2024,10,2024-01-01,78.6,21.4
Sucre,2024,11,2024-01-01,78.6,21.4
Sucre,2024,12,2024-01-01,78.6,21.4
Tolima,2024,1,2024-01-01,49.1,50.9
Tolima,2024,2,2024-01-01,49.1,50.9
Tolima,2024,3,2024-01-01,49.1,50.9
Tolima,2024,4,2024-01-01,49.1,50.9
Tolima,2024,5,2024-01-01,49.1,50.9
Tolima,2024,6,2024-01-01,49.1,50.9
Tolima,2024,7,2024-01-01,49.1,50.9
Tolima,2024,8,2024-01-01,49.1,50.9
Tolima,2024,9,2024-01-01,49.1,50.9
Tolima,2024,10,2024-01-01,49.1,50.9
Tolima,2024,11,2024-01-01,49.1,50.9
Tolima,2024,12,2024-01-01,49.1,50.9
Valle,2024,1,2024-01-01,36.2,63.8
Valle,2024,2,2024-01-01,36.2,63.8
Valle,2024,3,2024-01-01,36.2,63.8
Valle,2024,4,2024-01-01,36.2,63.8
Valle,2024,5,2024-01-01,36.2,63.8
Valle,2024,6,2024-01-01,36.2,63.8
Valle,2024,7,2024-01-01,36.2,63.8
Valle,2024,8,2024-01-01,36.2,63.8
Valle,2024,9,2024-01-01,36.2,63.8
Valle,2024,10,2024-01-01,36.2,63.8
Valle,2024,11,2024-01-01,36.2,63.8
Valle,2024,12,2024-01-01,36.2,63.8
Vaupes,2024,1,2024-01-01,85.5,14.5
Vaupes,2024,2,2024-01-01,85.5,14.5
Vaupes,2024,3,2024-01-01,85.5,14.5
Vaupes,2024,4,2024-01-01,85.5,14.5
Vaupes,2024,5,2024-01-01,85.5,14.5
Vaupes,2024,6,2024-01-01,85.5,14.5
Vaupes,2024,7,2024-01-01,85.5,14.5
Vaupes,2024,8,2024-01-01,85.5,14.5
Vaupes,2024,9,2024-01-01,85.5,14.5
Vaupes,2024,10,2024-01-01,85.5,14.5
Vaupes,2024,11,2024-01-01,85.5,14.5
Vaupes,2024,12,2024-01-01,85.5,14.5
Vichada,2024,1,2024-01-01,75.6,24.4
Vichada,2024,2,2024-01-01,75.6,24.4
Vichada,2024,3,2024-01-01,75.6,24.4
Vichada,2024,4,2024-01-01,75.6,24.4
Vichada,2024,5,2024-01-01,75.6,24.4
Vichada,2024,6,2024-01-01,75.6,24.4
Vichada,2024,7,2024-01-01,75.6,24.4
Vichada,2024,8,2024-01-01,75.6,24.4
Vichada,2024,9,2024-01-01,75.6,24.4
Vichada,2024,10,2024-01-01,75.6,24.4
Vichada,2024,11,2024-01-01,75.6,24.4
Vichada,2024,12,2024-01-01,75.6,24.4
