departamento,fecha,precipitacion_media
Santander,2022-01-14,9.28479063154278
Sucre,2022-01-14,0.0887883208043279
Tolima,2022-01-14,6.193196618869507
Valle Del Cauca,2022-01-14,0.1915223810032265
Vaupes,2022-01-14,0.1963906345533554
Vichada,2022-01-14,0.0
Amazonas,2022-01-15,17.702263276792603
Antioquia,2022-01-15,0.0051572807162701
Arauca,2022-01-15,0.0540898508468923
Atlantico,2022-01-15,0.0
Bogotá,2022-01-15,1.9865587056027303
Bolivar,2022-01-15,0.0
Boyaca,2022-01-15,0.0287692506413925
Caldas,2022-01-15,0.2717480246969493
Caqueta,2022-01-15,28.489080167323227
Casanare,2022-01-15,0.0382759832928039
Cauca,2022-01-15,3.868347099780319
Cesar,2022-01-15,0.1554634672406315
Choco,2022-01-15,0.0064449082081717
Cordoba,2022-01-15,0.0
Cundinamarca,2022-01-15,1.9865587056027303
Guainia,2022-01-15,0.4834554584824997
Guajira,2022-01-15,0.7503076780891494
Guaviare,2022-01-15,9.726445175833796
Huila,2022-01-15,25.44613621140255
Magdalena,2022-01-15,0.2447476839326035
Meta,2022-01-15,2.2788955179235635
Narino,2022-01-15,6.592727726926723
Norte De Santander,2022-01-15,1.1919434525021944
Putumayo,2022-01-15,8.329836410699098
Quindio,2022-01-15,0.8012360383389984
Risaralda,2022-01-15,0.335178324307577
Santander,2022-01-15,3.01527743046128
Sucre,2022-01-15,0.0
Tolima,2022-01-15,6.350090436024093
Valle Del Cauca,2022-01-15,0.2482816010871025
Vaupes,2022-01-15,11.244032302208613
Vichada,2022-01-15,0.1465914239680323
Amazonas,2022-01-16,15.549962358674051
Antioquia,2022-01-16,0.017306490718674
Arauca,2022-01-16,0.1352902378131416
Atlantico,2022-01-16,0.0
Bogotá,2022-01-16,0.5677661730804379
Bolivar,2022-01-16,0.0
Boyaca,2022-01-16,0.116231158540952
Caldas,2022-01-16,0.0
Caqueta,2022-01-16,11.625373078049105
Casanare,2022-01-16,1.033656167161978
Cauca,2022-01-16,6.228480806873979
Cesar,2022-01-16,0.0
Choco,2022-01-16,1.8826339133073704
Cordoba,2022-01-16,0.6190524604824575
Cundinamarca,2022-01-16,0.5677661730804379
Guainia,2022-01-16,25.010634596549664
Guajira,2022-01-16,0.0
Guaviare,2022-01-16,4.643176914070315
Huila,2022-01-16,5.841727523850932
Magdalena,2022-01-16,0.0149655253287526
Meta,2022-01-16,6.623040326058971
Narino,2022-01-16,7.632924331043292
Norte De Santander,2022-01-16,0.0918459553892728
Putumayo,2022-01-16,12.350692962178304
Quindio,2022-01-16,0.0086674489155259
Risaralda,2022-01-16,0.0
Santander,2022-01-16,0.01846511015941
Sucre,2022-01-16,0.055816956205459
Tolima,2022-01-16,0.0910415636979334
Valle Del Cauca,2022-01-16,0.4043921585825378
Vaupes,2022-01-16,17.278688241032924
Vichada,2022-01-16,2.4453914616659023
Amazonas,2022-01-17,10.867295644872884
Antioquia,2022-01-17,1.4342002142021062
Arauca,2022-01-17,1.1702182516787212
Atlantico,2022-01-17,0.0
Bogotá,2022-01-17,2.048323579776966
Bolivar,2022-01-17,0.1443396229124612
Boyaca,2022-01-17,0.2840455256552849
Caldas,2022-01-17,6.3987472360477735
Caqueta,2022-01-17,18.91623474762665
Casanare,2022-01-17,2.800131054869213
Cauca,2022-01-17,3.931867362723243
Cesar,2022-01-17,0.3009728463900971
Choco,2022-01-17,13.290646935927048
Cordoba,2022-01-17,0.3112021088704258
Cundinamarca,2022-01-17,2.048323579776966
Guainia,2022-01-17,3.933625314185482
Guajira,2022-01-17,0.6072417779253456
Guaviare,2022-01-17,0.4607717276199939
Huila,2022-01-17,9.23979906822754
Magdalena,2022-01-17,0.1188821475983076
Meta,2022-01-17,7.3543283263587105
Narino,2022-01-17,1.36488462534322
Norte De Santander,2022-01-17,0.3342709916166843
Putumayo,2022-01-17,13.922633286723023
Quindio,2022-01-17,1.9347093265728696
Risaralda,2022-01-17,0.2246001836583173
Santander,2022-01-17,0.2516249268403004
Sucre,2022-01-17,0.527275680002538
Tolima,2022-01-17,4.5966606480806735
Valle Del Cauca,2022-01-17,1.6079300514441328
Vaupes,2022-01-17,2.4546880935735453
Vichada,2022-01-17,3.918369775972015
Amazonas,2022-01-18,0.8057102064527093
Antioquia,2022-01-18,0.1564652013954165
Arauca,2022-01-18,0.0107057581003675
Atlantico,2022-01-18,0.0079998220206857
Bogotá,2022-01-18,0.4409997923263939
Bolivar,2022-01-18,1.1510951678799597
Boyaca,2022-01-18,1.366589246403234
Caldas,2022-01-18,0.0
Caqueta,2022-01-18,10.873570592508711
Casanare,2022-01-18,0.7233775679878983
Cauca,2022-01-18,0.2884417094263907
Cesar,2022-01-18,1.509050271250836
Choco,2022-01-18,0.2519675147502528
Cordoba,2022-01-18,0.0802466726673173
Cundinamarca,2022-01-18,0.4409997923263939
Guainia,2022-01-18,1.2028861657118406
Guajira,2022-01-18,0.035875127689069
Guaviare,2022-01-18,2.7577745398407747
Huila,2022-01-18,0.3683922838054614
Magdalena,2022-01-18,1.0719365343165677
Meta,2022-01-18,2.50243623423
Narino,2022-01-18,0.1595319242920051
Norte De Santander,2022-01-18,4.738406027079344
Putumayo,2022-01-18,4.7727801106380845
Quindio,2022-01-18,0.0
Risaralda,2022-01-18,0.0
Santander,2022-01-18,0.2466446722020865
Sucre,2022-01-18,0.4345827523940307
Tolima,2022-01-18,0.0
Valle Del Cauca,2022-01-18,0.0
Vaupes,2022-01-18,0.4082643223488424
Vichada,2022-01-18,2.5574573334517567
Amazonas,2022-01-19,16.28052445279279
Antioquia,2022-01-19,0.0170046058809337
Arauca,2022-01-19,0.0
Atlantico,2022-01-19,0.0124053928569947
Bogotá,2022-01-19,0.256547106523646
Bolivar,2022-01-19,1.0279684196854495
Boyaca,2022-01-19,0.0421562669455382
Caldas,2022-01-19,0.0
Caqueta,2022-01-19,9.796372415324958
Casanare,2022-01-19,0.0003300318862053
Cauca,2022-01-19,0.2181897052012653
Cesar,2022-01-19,1.056596688652769
Choco,2022-01-19,2.0410404236404465
Cordoba,2022-01-19,0.2274613782131729
Cundinamarca,2022-01-19,0.256547106523646
Guainia,2022-01-19,0.257352390681335
Guajira,2022-01-19,0.0
Guaviare,2022-01-19,4.034665960891536
Huila,2022-01-19,0.1285590790472189
Magdalena,2022-01-19,4.158300727831542
Meta,2022-01-19,2.037501789400166
Narino,2022-01-19,0.3085712362515947
Norte De Santander,2022-01-19,0.1518201370522574
Putumayo,2022-01-19,10.184947535407664
Quindio,2022-01-19,0.0084507668756443
Risaralda,2022-01-19,0.0
Santander,2022-01-19,0.4056106907492312
Sucre,2022-01-19,0.0867672966997742
Tolima,2022-01-19,0.7449672122729096
Valle Del Cauca,2022-01-19,0.0130630881923628
Vaupes,2022-01-19,19.523758990483387
Vichada,2022-01-19,0.0308790380529704
Amazonas,2022-01-20,20.96104919510584
Antioquia,2022-01-20,0.0
Arauca,2022-01-20,0.0
Atlantico,2022-01-20,0.0
Bogotá,2022-01-20,0.0511145307526526
Bolivar,2022-01-20,0.0116318551064279
Boyaca,2022-01-20,0.0050340785281913
Caldas,2022-01-20,0.0
Caqueta,2022-01-20,2.420066771471617
Casanare,2022-01-20,0.0001552896093175
Cauca,2022-01-20,5.0737170510888925
Cesar,2022-01-20,0.0202924751470533
Choco,2022-01-20,0.0077206173670356
Cordoba,2022-01-20,0.0
Cundinamarca,2022-01-20,0.0511145307526526
Guainia,2022-01-20,1.4511979306374445
Guajira,2022-01-20,0.0
Guaviare,2022-01-20,0.5706063561247106
Huila,2022-01-20,0.9043265598744364
Magdalena,2022-01-20,0.0
Meta,2022-01-20,0.8159796987149601
Narino,2022-01-20,1.8487227149917296
Norte De Santander,2022-01-20,0.0912696524260722
Putumayo,2022-01-20,9.273431819820678
Quindio,2022-01-20,0.0
Risaralda,2022-01-20,0.0547855673918866
Santander,2022-01-20,0.0
Sucre,2022-01-20,0.0
Tolima,2022-01-20,0.0
Valle Del Cauca,2022-01-20,0.2512974768699642
Vaupes,2022-01-20,6.338688696516208
Vichada,2022-01-20,0.0133001105348449
Amazonas,2022-01-21,7.330581365829996
Antioquia,2022-01-21,3.2562335450479827
Arauca,2022-01-21,0.0
Atlantico,2022-01-21,0.0
Bogotá,2022-01-21,0.1587438831663898
Bolivar,2022-01-21,0.0024891926828943
Boyaca,2022-01-21,0.0348265892297179
Caldas,2022-01-21,1.6599893424690964
Caqueta,2022-01-21,1.8911566846598424
Casanare,2022-01-21,0.0
Cauca,2022-01-21,0.2703324772742578
Cesar,2022-01-21,0.0
Choco,2022-01-21,11.408579253763923
Cordoba,2022-01-21,2.6131804668866403
Cundinamarca,2022-01-21,0.1587438831663898
Guainia,2022-01-21,6.8235442003483575
Guajira,2022-01-21,0.0
Guaviare,2022-01-21,0.0601623071203912
Huila,2022-01-21,0.0
Magdalena,2022-01-21,0.0
Meta,2022-01-21,0.0
Narino,2022-01-21,0.3470028810470673
Norte De Santander,2022-01-21,0.0
Putumayo,2022-01-21,3.387522835101754
Quindio,2022-01-21,1.1074684900663887
Risaralda,2022-01-21,1.5458315069201054
Santander,2022-01-21,0.0153202578010648
Sucre,2022-01-21,0.0161330133890468
Tolima,2022-01-21,0.0237063249879624
Valle Del Cauca,2022-01-21,0.660378160028961
Vaupes,2022-01-21,5.762436973680521
Vichada,2022-01-21,0.3694331145963252
Amazonas,2022-01-22,4.7557718813749
Antioquia,2022-01-22,2.044291687320813
Arauca,2022-01-22,0.2038177164065822
Atlantico,2022-01-22,0.0
Bogotá,2022-01-22,5.204749861403688
Bolivar,2022-01-22,0.4839221655754793
Boyaca,2022-01-22,3.821502665150936
Caldas,2022-01-22,14.73570507778099
Caqueta,2022-01-22,0.4901031242168284
Casanare,2022-01-22,0.0526691198375084
Cauca,2022-01-22,4.387987691570622
Cesar,2022-01-22,0.0
Choco,2022-01-22,10.381469948423272
Cordoba,2022-01-22,0.0286466151622946
Cundinamarca,2022-01-22,5.204749861403688
Guainia,2022-01-22,4.4621962590693975
Guajira,2022-01-22,0.0044479295551241
Guaviare,2022-01-22,0.0389649135881973
Huila,2022-01-22,0.049100435736956
Magdalena,2022-01-22,0.0075233665251338
Meta,2022-01-22,0.0019714937807839
Narino,2022-01-22,3.650992956109482
Norte De Santander,2022-01-22,0.0066306520231479
Putumayo,2022-01-22,2.8183950999614265
Quindio,2022-01-22,13.191699536064943
Risaralda,2022-01-22,5.995326661892735
