departamento,año,mes,fecha,Deficit_cuantitativo,Deficit_cualitativo,Deficit_habitacional
Cordoba,2024,10,2024-01-01,23.0,36.5,59.5
Cordoba,2024,11,2024-01-01,23.0,36.5,59.5
Cordoba,2024,12,2024-01-01,23.0,36.5,59.5
Cundinamarca,2024,1,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,2,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,3,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,4,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,5,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,6,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,7,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,8,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,9,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,10,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,11,2024-01-01,1.6,13.8,15.5
Cundinamarca,2024,12,2024-01-01,1.6,13.8,15.5
Guainia,2024,1,2024-01-01,53.7,30.2,83.9
Guainia,2024,2,2024-01-01,53.7,30.2,83.9
Guainia,2024,3,2024-01-01,53.7,30.2,83.9
Guainia,2024,4,2024-01-01,53.7,30.2,83.9
Guainia,2024,5,2024-01-01,53.7,30.2,83.9
Guainia,2024,6,2024-01-01,53.7,30.2,83.9
Guainia,2024,7,2024-01-01,53.7,30.2,83.9
Guainia,2024,8,2024-01-01,53.7,30.2,83.9
Guainia,2024,9,2024-01-01,53.7,30.2,83.9
Guainia,2024,10,2024-01-01,53.7,30.2,83.9
Guainia,2024,11,2024-01-01,53.7,30.2,83.9
Guainia,2024,12,2024-01-01,53.7,30.2,83.9
Guaviare,2024,1,2024-01-01,44.8,17.5,62.4
Guaviare,2024,2,2024-01-01,44.8,17.5,62.4
Guaviare,2024,3,2024-01-01,44.8,17.5,62.4
Guaviare,2024,4,2024-01-01,44.8,17.5,62.4
Guaviare,2024,5,2024-01-01,44.8,17.5,62.4
Guaviare,2024,6,2024-01-01,44.8,17.5,62.4
Guaviare,2024,7,2024-01-01,44.8,17.5,62.4
Guaviare,2024,8,2024-01-01,44.8,17.5,62.4
Guaviare,2024,9,2024-01-01,44.8,17.5,62.4
Guaviare,2024,10,2024-01-01,44.8,17.5,62.4
Guaviare,2024,11,2024-01-01,44.8,17.5,62.4
Guaviare,2024,12,2024-01-01,44.8,17.5,62.4
Huila,2024,1,2024-01-01,3.6,23.1,26.7
Huila,2024,2,2024-01-01,3.6,23.1,26.7
Huila,2024,3,2024-01-01,3.6,23.1,26.7
Huila,2024,4,2024-01-01,3.6,23.1,26.7
Huila,2024,5,2024-01-01,3.6,23.1,26.7
Huila,2024,6,2024-01-01,3.6,23.1,26.7
Huila,2024,7,2024-01-01,3.6,23.1,26.7
Huila,2024,8,2024-01-01,3.6,23.1,26.7
Huila,2024,9,2024-01-01,3.6,23.1,26.7
Huila,2024,10,2024-01-01,3.6,23.1,26.7
Huila,2024,11,2024-01-01,3.6,23.1,26.7
Huila,2024,12,2024-01-01,3.6,23.1,26.7
La_Guajira,2024,1,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,2,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,3,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,4,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,5,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,6,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,7,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,8,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,9,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,10,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,11,2024-01-01,6.2,44.1,50.2
La_Guajira,2024,12,2024-01-01,6.2,44.1,50.2
Magdalena,2024,1,2024-01-01,7.7,48.9,56.6
Magdalena,2024,2,2024-01-01,7.7,48.9,56.6
Magdalena,2024,3,2024-01-01,7.7,48.9,56.6
Magdalena,2024,4,2024-01-01,7.7,48.9,56.6
Magdalena,2024,5,2024-01-01,7.7,48.9,56.6
Magdalena,2024,6,2024-01-01,7.7,48.9,56.6
Magdalena,2024,7,2024-01-01,7.7,48.9,56.6
Magdalena,2024,8,2024-01-01,7.7,48.9,56.6
Magdalena,2024,9,2024-01-01,7.7,48.9,56.6
Magdalena,2024,10,2024-01-01,7.7,48.9,56.6
Magdalena,2024,11,2024-01-01,7.7,48.9,56.6
Magdalena,2024,12,2024-01-01,7.7,48.9,56.6
Meta,2024,1,2024-01-01,9.3,18.9,28.2
Meta,2024,2,2024-01-01,9.3,18.9,28.2
Meta,2024,3,2024-01-01,9.3,18.9,28.2
Meta,2024,4,2024-01-01,9.3,18.9,28.2
Meta,2024,5,2024-01-01,9.3,18.9,28.2
Meta,2024,6,2024-01-01,9.3,18.9,28.2
Meta,2024,7,2024-01-01,9.3,18.9,28.2
Meta,2024,8,2024-01-01,9.3,18.9,28.2
Meta,2024,9,2024-01-01,9.3,18.9,28.2
Meta,2024,10,2024-01-01,9.3,18.9,28.2
Meta,2024,11,2024-01-01,9.3,18.9,28.2
Meta,2024,12,2024-01-01,9.3,18.9,28.2
Narino,2024,1,2024-01-01,19.5,23.5,43.0
Narino,2024,2,2024-01-01,19.5,23.5,43.0
Narino,2024,3,2024-01-01,19.5,23.5,43.0
Narino,2024,4,2024-01-01,19.5,23.5,43.0
Narino,2024,5,2024-01-01,19.5,23.5,43.0
Narino,2024,6,2024-01-01,19.5,23.5,43.0
Narino,2024,7,2024-01-01,19.5,23.5,43.0
Narino,2024,8,2024-01-01,19.5,23.5,43.0
Narino,2024,9,2024-01-01,19.5,23.5,43.0
Narino,2024,10,2024-01-01,19.5,23.5,43.0
Narino,2024,11,2024-01-01,19.5,23.5,43.0
Narino,2024,12,2024-01-01,19.5,23.5,43.0
Norte_de_Santander,2024,1,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,2,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,3,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,4,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,5,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,6,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,7,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,8,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,9,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,10,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,11,2024-01-01,9.2,21.4,30.6
Norte_de_Santander,2024,12,2024-01-01,9.2,21.4,30.6
Putumayo,2024,1,2024-01-01,39.2,22.7,62.0
Putumayo,2024,2,2024-01-01,39.2,22.7,62.0
Putumayo,2024,3,2024-01-01,39.2,22.7,62.0
Putumayo,2024,4,2024-01-01,39.2,22.7,62.0
Putumayo,2024,5,2024-01-01,39.2,22.7,62.0
Putumayo,2024,6,2024-01-01,39.2,22.7,62.0
Putumayo,2024,7,2024-01-01,39.2,22.7,62.0
Putumayo,2024,8,2024-01-01,39.2,22.7,62.0
Putumayo,2024,9,2024-01-01,39.2,22.7,62.0
Putumayo,2024,10,2024-01-01,39.2,22.7,62.0
Putumayo,2024,11,2024-01-01,39.2,22.7,62.0
Putumayo,2024,12,2024-01-01,39.2,22.7,62.0
Quindio,2024,1,2024-01-01,5.0,10.8,15.8
Quindio,2024,2,2024-01-01,5.0,10.8,15.8
Quindio,2024,3,2024-01-01,5.0,10.8,15.8
Quindio,2024,4,2024-01-01,5.0,10.8,15.8
Quindio,2024,5,2024-01-01,5.0,10.8,15.8
Quindio,2024,6,2024-01-01,5.0,10.8,15.8
Quindio,2024,7,2024-01-01,5.0,10.8,15.8
Quindio,2024,8,2024-01-01,5.0,10.8,15.8
Quindio,2024,9,2024-01-01,5.0,10.8,15.8
Quindio,2024,10,2024-01-01,5.0,10.8,15.8
Quindio,2024,11,2024-01-01,5.0,10.8,15.8
Quindio,2024,12,2024-01-01,5.0,10.8,15.8
Risaralda,2024,1,2024-01-01,3.8,14.5,18.3
Risaralda,2024,2,2024-01-01,3.8,14.5,18.3
Risaralda,2024,3,2024-01-01,3.8,14.5,18.3
Risaralda,2024,4,2024-01-01,3.8,14.5,18.3
Risaralda,2024,5,2024-01-01,3.8,14.5,18.3
Risaralda,2024,6,2024-01-01,3.8,14.5,18.3
Risaralda,2024,7,2024-01-01,3.8,14.5,18.3
Risaralda,2024,8,2024-01-01,3.8,14.5,18.3
Risaralda,2024,9,2024-01-01,3.8,14.5,18.3
Risaralda,2024,10,2024-01-01,3.8,14.5,18.3
Risaralda,2024,11,2024-01-01,3.8,14.5,18.3
Risaralda,2024,12,2024-01-01,3.8,14.5,18.3
Santander,2024,1,2024-01-01,4.4,13.7,18.1
Santander,2024,2,2024-01-01,4.4,13.7,18.1
Santander,2024,3,2024-01-01,4.4,13.7,18.1
Santander,2024,4,2024-01-01,4.4,13.7,18.1
Santander,2024,5,2024-01-01,4.4,13.7,18.1
Santander,2024,6,2024-01-01,4.4,13.7,18.1
Santander,2024,7,2024-01-01,4.4,13.7,18.1
Santander,2024,8,2024-01-01,4.4,13.7,18.1
Santander,2024,9,2024-01-01,4.4,13.7,18.1
Santander,2024,10,2024-01-01,4.4,13.7,18.1
Santander,2024,11,2024-01-01,4.4,13.7,18.1
Santander,2024,12,2024-01-01,4.4,13.7,18.1
Sucre,2024,1,2024-01-01,10.4,46.1,56.5
Sucre,2024,2,2024-01-01,10.4,46.1,56.5
Sucre,2024,3,2024-01-01,10.4,46.1,56.5
Sucre,2024,4,2024-01-01,10.4,46.1,56.5
Sucre,2024,5,2024-01-01,10.4,46.1,56.5
Sucre,2024,6,2024-01-01,10.4,46.1,56.5
Sucre,2024,7,2024-01-01,10.4,46.1,56.5
Sucre,2024,8,2024-01-01,10.4,46.1,56.5
Sucre,2024,9,2024-01-01,10.4,46.1,56.5
Sucre,2024,10,2024-01-01,10.4,46.1,56.5
Sucre,2024,11,2024-01-01,10.4,46.1,56.5
Sucre,2024,12,2024-01-01,10.4,46.1,56.5
Tolima,2024,1,2024-01-01,5.4,18.9,24.3
Tolima,2024,2,2024-01-01,5.4,18.9,24.3
Tolima,2024,3,2024-01-01,5.4,18.9,24.3
Tolima,2024,4,2024-01-01,5.4,18.9,24.3
Tolima,2024,5,2024-01-01,5.4,18.9,24.3
Tolima,2024,6,2024-01-01,5.4,18.9,24.3
Tolima,2024,7,2024-01-01,5.4,18.9,24.3
Tolima,2024,8,2024-01-01,5.4,18.9,24.3
Tolima,2024,9,2024-01-01,5.4,18.9,24.3
Tolima,2024,10,2024-01-01,5.4,18.9,24.3
Tolima,2024,11,2024-01-01,5.4,18.9,24.3
Tolima,2024,12,2024-01-01,5.4,18.9,24.3
Valle,2024,1,2024-01-01,3.3,11.3,14.7
Valle,2024,2,2024-01-01,3.3,11.3,14.7
Valle,2024,3,2024-01-01,3.3,11.3,14.7
Valle,2024,4,2024-01-01,3.3,11.3,14.7
Valle,2024,5,2024-01-01,3.3,11.3,14.7
Valle,2024,6,2024-01-01,3.3,11.3,14.7
Valle,2024,7,2024-01-01,3.3,11.3,14.7
Valle,2024,8,2024-01-01,3.3,11.3,14.7
Valle,2024,9,2024-01-01,3.3,11.3,14.7
Valle,2024,10,2024-01-01,3.3,11.3,14.7
Valle,2024,11,2024-01-01,3.3,11.3,14.7
Valle,2024,12,2024-01-01,3.3,11.3,14.7
Vaupes,2024,1,2024-01-01,84.6,6.1,90.7
Vaupes,2024,2,2024-01-01,84.6,6.1,90.7
Vaupes,2024,3,2024-01-01,84.6,6.1,90.7
Vaupes,2024,4,2024-01-01,84.6,6.1,90.7
Vaupes,2024,5,2024-01-01,84.6,6.1,90.7
Vaupes,2024,6,2024-01-01,84.6,6.1,90.7
Vaupes,2024,7,2024-01-01,84.6,6.1,90.7
Vaupes,2024,8,2024-01-01,84.6,6.1,90.7
Vaupes,2024,9,2024-01-01,84.6,6.1,90.7
Vaupes,2024,10,2024-01-01,84.6,6.1,90.7
Vaupes,2024,11,2024-01-01,84.6,6.1,90.7
Vaupes,2024,12,2024-01-01,84.6,6.1,90.7
Vichada,2024,1,2024-01-01,24.2,68.7,92.9
Vichada,2024,2,2024-01-01,24.2,68.7,92.9
Vichada,2024,3,2024-01-01,24.2,68.7,92.9
Vichada,2024,4,2024-01-01,24.2,68.7,92.9
Vichada,2024,5,2024-01-01,24.2,68.7,92.9
Vichada,2024,6,2024-01-01,24.2,68.7,92.9
Vichada,2024,7,2024-01-01,24.2,68.7,92.9
Vichada,2024,8,2024-01-01,24.2,68.7,92.9
Vichada,2024,9,2024-01-01,24.2,68.7,92.9
Vichada,2024,10,2024-01-01,24.2,68.7,92.9
Vichada,2024,11,2024-01-01,24.2,68.7,92.9
Vichada,2024,12,2024-01-01,24.2,68.7,92.9
