departamento,año,mes,fecha,Energia,Gas_natural,Acueducto,Alcantarillado,Recoleccion_basura,Telefono_fijo,Ningun_servicio
Caqueta,2024,6,2024-06-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,6,2024-06-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,6,2024-06-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,6,2024-06-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,6,2024-06-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,6,2024-06-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,6,2024-06-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,6,2024-06-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,6,2024-06-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,6,2024-06-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,6,2024-06-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,6,2024-06-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,6,2024-06-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,6,2024-06-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,6,2024-06-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,6,2024-06-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,6,2024-06-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,6,2024-06-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,6,2024-06-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,6,2024-06-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,6,2024-06-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,6,2024-06-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,6,2024-06-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,6,2024-06-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,7,2024-07-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,7,2024-07-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,7,2024-07-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,7,2024-07-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,7,2024-07-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,7,2024-07-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,7,2024-07-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,7,2024-07-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,7,2024-07-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,7,2024-07-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,7,2024-07-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,7,2024-07-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,7,2024-07-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,7,2024-07-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,7,2024-07-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,7,2024-07-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,7,2024-07-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,7,2024-07-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,7,2024-07-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,7,2024-07-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,7,2024-07-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,7,2024-07-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,7,2024-07-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,7,2024-07-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,7,2024-07-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,7,2024-07-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,7,2024-07-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,7,2024-07-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,7,2024-07-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,7,2024-07-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,7,2024-07-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,7,2024-07-01,43.4,0.0,48.0,0.3,23.7,,
Amazonas,2024,8,2024-08-01,95.7,0.0,45.3,30.6,52.4,,
Antioquia,2024,8,2024-08-01,99.9,68.3,92.4,81.6,92.3,,
Arauca,2024,8,2024-08-01,97.9,22.5,65.2,52.1,67.1,,
Atlantico,2024,8,2024-08-01,99.9,90.7,97.8,85.4,96.7,,
Bogota_DC,2024,8,2024-08-01,99.9,95.1,99.9,99.3,99.8,,
Bolivar,2024,8,2024-08-01,99.0,67.8,85.5,52.1,75.1,,
Boyaca,2024,8,2024-08-01,99.6,64.3,93.7,65.0,69.3,,
Caldas,2024,8,2024-08-01,100.0,72.3,92.8,81.6,89.3,,
Caqueta,2024,8,2024-08-01,98.6,57.4,76.0,68.9,73.5,,
Casanare,2024,8,2024-08-01,98.3,85.7,84.7,70.3,80.7,,
Cauca,2024,8,2024-08-01,99.4,27.4,84.8,42.5,43.7,,
Cesar,2024,8,2024-08-01,99.6,73.9,90.9,77.0,82.1,,
Choco,2024,8,2024-08-01,96.6,0.0,41.6,16.7,55.0,,
Cordoba,2024,8,2024-08-01,99.6,49.8,72.0,43.3,60.4,,
Cundinamarca,2024,8,2024-08-01,99.7,79.8,97.1,81.5,88.1,,
Guainia,2024,8,2024-08-01,80.1,0.0,21.7,21.9,28.1,,
Guaviare,2024,8,2024-08-01,96.8,24.0,54.2,48.5,61.1,,
Huila,2024,8,2024-08-01,99.7,71.1,91.7,67.6,70.0,,
La_Guajira,2024,8,2024-08-01,70.6,44.2,52.8,47.3,53.9,,
Magdalena,2024,8,2024-08-01,99.1,70.4,88.3,57.0,73.6,,
Meta,2024,8,2024-08-01,98.9,70.9,84.0,79.9,85.9,,
Narino,2024,8,2024-08-01,99.9,13.6,76.0,41.8,54.5,,
Norte_de_Santander,2024,8,2024-08-01,99.8,59.4,87.6,83.4,85.5,,
Putumayo,2024,8,2024-08-01,91.1,15.2,56.0,51.9,60.6,,
Quindio,2024,8,2024-08-01,99.8,82.9,98.0,88.9,95.8,,
Risaralda,2024,8,2024-08-01,99.5,82.2,93.1,86.0,90.5,,
Santander,2024,8,2024-08-01,99.7,78.6,92.8,79.3,82.6,,
Sucre,2024,8,2024-08-01,99.4,56.8,87.3,54.6,64.2,,
Tolima,2024,8,2024-08-01,99.6,79.2,90.4,75.3,77.4,,
Valle,2024,8,2024-08-01,99.7,83.7,97.5,91.1,96.1,,
Vaupes,2024,8,2024-08-01,89.9,0.0,27.7,24.6,28.4,,
Vichada,2024,8,2024-08-01,43.4,0.0,48.0,0.3,23.7,,
