departamento,fecha,ndvi_medio
Putumayo,2022-04-23,0.7385154052233442
Quindio,2022-04-23,0.6333418787174212
Risaralda,2022-04-23,0.6905698529310976
Santander,2022-04-23,0.699648152610011
Sucre,2022-04-23,0.6303902048363862
Tolima,2022-04-23,0.713373499131076
Valle Del Cauca,2022-04-23,0.6667691800983357
Vaupes,2022-04-23,0.6841090210101617
Vichada,2022-04-23,0.5593419169452665
Amazonas,2022-05-09,0.3640025755136923
Antioquia,2022-05-09,0.6555205235660375
Arauca,2022-05-09,0.6177128437171033
Atlantico,2022-05-09,0.6915008420971103
Bolivar,2022-05-09,0.6699673343699915
Boyaca,2022-05-09,0.5999521526938976
Caldas,2022-05-09,0.6241768517605139
Caqueta,2022-05-09,0.4877701169865171
Casanare,2022-05-09,0.6162768636029394
Cauca,2022-05-09,0.6080572685855122
Cesar,2022-05-09,0.7220313632637756
Choco,2022-05-09,0.5498888594536874
Cordoba,2022-05-09,0.6917413146321727
Cundinamarca,2022-05-09,0.5694653783580044
Guainia,2022-05-09,0.5320499310804595
Guajira,2022-05-09,0.5174386813260925
Guaviare,2022-05-09,0.501729971199356
Huila,2022-05-09,0.640018156921922
Magdalena,2022-05-09,0.7143882968578387
Meta,2022-05-09,0.5582167832563597
Narino,2022-05-09,0.6206296405993561
Norte De Santander,2022-05-09,0.6956751369982002
Putumayo,2022-05-09,0.2924312022029385
Quindio,2022-05-09,0.6449953593371721
Risaralda,2022-05-09,0.5629155464211458
Santander,2022-05-09,0.6785539792148917
Sucre,2022-05-09,0.6228429159551178
Tolima,2022-05-09,0.6240940158276933
Valle Del Cauca,2022-05-09,0.5012366099125161
Vaupes,2022-05-09,0.5318389299986965
Vichada,2022-05-09,0.51411079533328
Amazonas,2022-05-25,0.4010407149204973
Antioquia,2022-05-25,0.6665700269352864
Arauca,2022-05-25,0.5907052662256916
Atlantico,2022-05-25,0.7517016704716327
Bolivar,2022-05-25,0.6792051362755275
Boyaca,2022-05-25,0.5809393175676361
Caldas,2022-05-25,0.6218771068528008
Caqueta,2022-05-25,0.5538795061197793
Casanare,2022-05-25,0.5518028665530613
Cauca,2022-05-25,0.6625381515456065
Cesar,2022-05-25,0.7243798667068797
Choco,2022-05-25,0.5693582700042439
Cordoba,2022-05-25,0.6900879162798503
Cundinamarca,2022-05-25,0.5806920728567803
Guainia,2022-05-25,0.5554544451809131
Guajira,2022-05-25,0.5380663610827593
Guaviare,2022-05-25,0.6762483785107395
Huila,2022-05-25,0.6380379626021321
Magdalena,2022-05-25,0.7356879785362711
Meta,2022-05-25,0.5469956382740473
Narino,2022-05-25,0.5533986018394976
Norte De Santander,2022-05-25,0.719970476539837
Putumayo,2022-05-25,0.5961177101424937
Quindio,2022-05-25,0.5371612052574253
Risaralda,2022-05-25,0.5717339129236018
Santander,2022-05-25,0.6905256338812777
Sucre,2022-05-25,0.6167606854936496
Tolima,2022-05-25,0.6340365056799055
Valle Del Cauca,2022-05-25,0.5807726532071646
Vaupes,2022-05-25,0.6126494080310135
Vichada,2022-05-25,0.5223194304469919
Amazonas,2022-06-10,0.497670290812173
Antioquia,2022-06-10,0.6695450573655258
Arauca,2022-06-10,0.6545334575788772
Atlantico,2022-06-10,0.7625527953949109
Bolivar,2022-06-10,0.6656996009071314
Boyaca,2022-06-10,0.667159845604047
Caldas,2022-06-10,0.655441730607672
Caqueta,2022-06-10,0.7047227541296109
Casanare,2022-06-10,0.6425905351889766
Cauca,2022-06-10,0.5773494905943487
Cesar,2022-06-10,0.7281563971873043
Choco,2022-06-10,0.5968630059935598
Cordoba,2022-06-10,0.6404772956218034
Cundinamarca,2022-06-10,0.6179640130259775
Guainia,2022-06-10,0.3854285581905106
Guajira,2022-06-10,0.530676379174287
Guaviare,2022-06-10,0.766885150876881
Huila,2022-06-10,0.6561810814892335
Magdalena,2022-06-10,0.7480574841745167
Meta,2022-06-10,0.6749551021287925
Narino,2022-06-10,0.6415559752255656
Norte De Santander,2022-06-10,0.7113400728952438
Putumayo,2022-06-10,0.6813205869957485
Quindio,2022-06-10,0.6128076766252176
Risaralda,2022-06-10,0.5500597607167614
Santander,2022-06-10,0.716013482542995
Sucre,2022-06-10,0.580444831579354
Tolima,2022-06-10,0.6277828359887123
Valle Del Cauca,2022-06-10,0.5892013683877356
Vaupes,2022-06-10,0.6507426277722523
Vichada,2022-06-10,0.5374545053736992
Amazonas,2022-06-26,0.4229044766871659
Antioquia,2022-06-26,0.6907863021606598
Arauca,2022-06-26,0.5744171058785371
Atlantico,2022-06-26,0.7391132819431708
Bolivar,2022-06-26,0.6864547782364184
Boyaca,2022-06-26,0.6190589177085573
Caldas,2022-06-26,0.6385637400943712
Caqueta,2022-06-26,0.7504158708553877
Casanare,2022-06-26,0.5542034030356411
Cauca,2022-06-26,0.7000641385247447
Cesar,2022-06-26,0.7467422247496538
Choco,2022-06-26,0.6251649244615614
Cordoba,2022-06-26,0.7207518028248506
Cundinamarca,2022-06-26,0.643929569680829
Guainia,2022-06-26,0.5433071462998285
Guajira,2022-06-26,0.5448446073316002
Guaviare,2022-06-26,0.6584005998775991
Huila,2022-06-26,0.7214698890557193
Magdalena,2022-06-26,0.7165031964928155
Meta,2022-06-26,0.6544352785028125
Narino,2022-06-26,0.6132545756334257
Norte De Santander,2022-06-26,0.7135136461582439
Putumayo,2022-06-26,0.8090689524880643
Quindio,2022-06-26,0.6081327485821114
Risaralda,2022-06-26,0.6776755949462127
Santander,2022-06-26,0.7259349486526538
Sucre,2022-06-26,0.6169991907620441
Tolima,2022-06-26,0.7245000948632117
Valle Del Cauca,2022-06-26,0.6358687677013329
Vaupes,2022-06-26,0.4595200195540606
Vichada,2022-06-26,0.5045935096402268
Amazonas,2022-07-12,0.4672423272457845
Antioquia,2022-07-12,0.69954768165258
Arauca,2022-07-12,0.6049500714997875
Atlantico,2022-07-12,0.7311789473006906
Bolivar,2022-07-12,0.6717179188577769
Boyaca,2022-07-12,0.6805541222525273
Caldas,2022-07-12,0.7046963692266275
Caqueta,2022-07-12,0.5252812555578478
Casanare,2022-07-12,0.6173667655607149
Cauca,2022-07-12,0.5585108460767138
Cesar,2022-07-12,0.7395355546625562
Choco,2022-07-12,0.5314987491403003
Cordoba,2022-07-12,0.6681571105291388
Cundinamarca,2022-07-12,0.6435213331011942
Guainia,2022-07-12,0.6317254342050475
Guajira,2022-07-12,0.5286768712971651
Guaviare,2022-07-12,0.5475419707845748
Huila,2022-07-12,0.4293473955609309
Magdalena,2022-07-12,0.7279959120264615
Meta,2022-07-12,0.5711846490626429
Narino,2022-07-12,0.5296891213123125
Norte De Santander,2022-07-12,0.718534503203637
Putumayo,2022-07-12,0.4870199017229957
