departamento,año,mes,fecha,No_alcanzan_gastos_minimos,Alcanzan_gastos_minimos,Cubren_mas_gastos_minimos
Caldas,2024,6,2024-06-01,28.2,61.6,10.2
Caqueta,2024,6,2024-06-01,44.5,50.6,4.9
Casanare,2024,6,2024-06-01,45.8,49.9,4.3
Cauca,2024,6,2024-06-01,41.8,54.8,3.3
Cesar,2024,6,2024-06-01,45.6,50.8,3.5
Choco,2024,6,2024-06-01,56.5,42.2,1.3
Cordoba,2024,6,2024-06-01,64.5,33.7,1.8
Cundinamarca,2024,6,2024-06-01,34.3,57.9,7.9
Guainia,2024,6,2024-06-01,49.5,47.4,3.1
Guaviare,2024,6,2024-06-01,52.2,42.1,5.7
Huila,2024,6,2024-06-01,42.6,53.7,3.7
La_Guajira,2024,6,2024-06-01,66.0,32.2,1.8
Magdalena,2024,6,2024-06-01,48.1,47.1,4.8
Meta,2024,6,2024-06-01,24.2,69.3,6.5
Narino,2024,6,2024-06-01,55.4,41.3,3.2
Norte_de_Santander,2024,6,2024-06-01,32.6,59.9,7.5
Putumayo,2024,6,2024-06-01,32.5,65.4,2.1
Quindio,2024,6,2024-06-01,34.4,55.7,10.0
Risaralda,2024,6,2024-06-01,26.6,61.1,12.3
Santander,2024,6,2024-06-01,25.0,63.5,11.5
Sucre,2024,6,2024-06-01,65.0,32.7,2.3
Tolima,2024,6,2024-06-01,37.4,51.7,10.9
Valle,2024,6,2024-06-01,32.2,58.7,9.1
Vaupes,2024,6,2024-06-01,70.1,29.3,0.6
Vichada,2024,6,2024-06-01,59.1,40.1,0.9
Amazonas,2024,7,2024-07-01,31.1,61.9,7.1
Antioquia,2024,7,2024-07-01,35.5,55.8,8.7
Arauca,2024,7,2024-07-01,27.1,69.0,3.9
Atlantico,2024,7,2024-07-01,49.8,45.0,5.2
Bogota_DC,2024,7,2024-07-01,16.6,69.8,13.7
Bolivar,2024,7,2024-07-01,38.5,55.8,5.8
Boyaca,2024,7,2024-07-01,32.4,63.1,4.5
Caldas,2024,7,2024-07-01,28.2,61.6,10.2
Caqueta,2024,7,2024-07-01,44.5,50.6,4.9
Casanare,2024,7,2024-07-01,45.8,49.9,4.3
Cauca,2024,7,2024-07-01,41.8,54.8,3.3
Cesar,2024,7,2024-07-01,45.6,50.8,3.5
Choco,2024,7,2024-07-01,56.5,42.2,1.3
Cordoba,2024,7,2024-07-01,64.5,33.7,1.8
Cundinamarca,2024,7,2024-07-01,34.3,57.9,7.9
Guainia,2024,7,2024-07-01,49.5,47.4,3.1
Guaviare,2024,7,2024-07-01,52.2,42.1,5.7
Huila,2024,7,2024-07-01,42.6,53.7,3.7
La_Guajira,2024,7,2024-07-01,66.0,32.2,1.8
Magdalena,2024,7,2024-07-01,48.1,47.1,4.8
Meta,2024,7,2024-07-01,24.2,69.3,6.5
Narino,2024,7,2024-07-01,55.4,41.3,3.2
Norte_de_Santander,2024,7,2024-07-01,32.6,59.9,7.5
Putumayo,2024,7,2024-07-01,32.5,65.4,2.1
Quindio,2024,7,2024-07-01,34.4,55.7,10.0
Risaralda,2024,7,2024-07-01,26.6,61.1,12.3
Santander,2024,7,2024-07-01,25.0,63.5,11.5
Sucre,2024,7,2024-07-01,65.0,32.7,2.3
Tolima,2024,7,2024-07-01,37.4,51.7,10.9
Valle,2024,7,2024-07-01,32.2,58.7,9.1
Vaupes,2024,7,2024-07-01,70.1,29.3,0.6
Vichada,2024,7,2024-07-01,59.1,40.1,0.9
Amazonas,2024,8,2024-08-01,31.1,61.9,7.1
Antioquia,2024,8,2024-08-01,35.5,55.8,8.7
Arauca,2024,8,2024-08-01,27.1,69.0,3.9
Atlantico,2024,8,2024-08-01,49.8,45.0,5.2
Bogota_DC,2024,8,2024-08-01,16.6,69.8,13.7
Bolivar,2024,8,2024-08-01,38.5,55.8,5.8
Boyaca,2024,8,2024-08-01,32.4,63.1,4.5
Caldas,2024,8,2024-08-01,28.2,61.6,10.2
Caqueta,2024,8,2024-08-01,44.5,50.6,4.9
Casanare,2024,8,2024-08-01,45.8,49.9,4.3
Cauca,2024,8,2024-08-01,41.8,54.8,3.3
Cesar,2024,8,2024-08-01,45.6,50.8,3.5
Choco,2024,8,2024-08-01,56.5,42.2,1.3
Cordoba,2024,8,2024-08-01,64.5,33.7,1.8
Cundinamarca,2024,8,2024-08-01,34.3,57.9,7.9
Guainia,2024,8,2024-08-01,49.5,47.4,3.1
Guaviare,2024,8,2024-08-01,52.2,42.1,5.7
Huila,2024,8,2024-08-01,42.6,53.7,3.7
La_Guajira,2024,8,2024-08-01,66.0,32.2,1.8
Magdalena,2024,8,2024-08-01,48.1,47.1,4.8
Meta,2024,8,2024-08-01,24.2,69.3,6.5
Narino,2024,8,2024-08-01,55.4,41.3,3.2
Norte_de_Santander,2024,8,2024-08-01,32.6,59.9,7.5
Putumayo,2024,8,2024-08-01,32.5,65.4,2.1
Quindio,2024,8,2024-08-01,34.4,55.7,10.0
Risaralda,2024,8,2024-08-01,26.6,61.1,12.3
Santander,2024,8,2024-08-01,25.0,63.5,11.5
Sucre,2024,8,2024-08-01,65.0,32.7,2.3
Tolima,2024,8,2024-08-01,37.4,51.7,10.9
Valle,2024,8,2024-08-01,32.2,58.7,9.1
Vaupes,2024,8,2024-08-01,70.1,29.3,0.6
Vichada,2024,8,2024-08-01,59.1,40.1,0.9
