departamento,año,mes,fecha,clave,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Antioquia,2022,mayo,2022-05-01,Antioquia_2022_mayo,-4.820380393654757,-0.7196426876291755,0.5057246008177589,1.2251057966822154,0.48386351557114343,-2.0191350917623874,0.2217533082616402
Arauca,2022,mayo,2022-05-01,Arauca_2022_mayo,3.911546161709406,1.345098175189747,0.7328767118600386,0.13800332429042614,0.0622504551409909,-0.344000365097747,-1.4567013172662073
Atlantico,2022,mayo,2022-05-01,Atlantico_2022_mayo,0.4855411767328516,5.518738781030662,3.7123434123181274,1.2823720049016216,0.8971155796134384,-1.7124798128013248,-0.31983320242824376
Bogotá,2022,mayo,2022-05-01,Bogotá_2022_mayo,-6.885577408012239,1.6348232941899545,0.3642339421153156,6.524272537231922,1.7271930538330165,0.021722442015881124,-1.4290361638683837
Bolivar,2022,mayo,2022-05-01,Bolivar_2022_mayo,1.5775249249530345,0.4796334304155979,2.2318565112132527,-1.9831520205586606,-0.4178742273844971,-2.3572517472821217,0.14098622723787643
Boyaca,2022,mayo,2022-05-01,Boyaca_2022_mayo,-2.3184345343722037,0.3439702136021811,-4.24387717140104,2.5087761953547663,-0.3848090989625764,-0.07790114084509363,-0.2782858532758861
Caldas,2022,mayo,2022-05-01,Caldas_2022_mayo,-6.754185569240903,-2.4299563803625333,0.601547567452934,0.8023693013837451,0.21448228660177898,-1.3852865379384656,0.8736708696968393
Caqueta,2022,mayo,2022-05-01,Caqueta_2022_mayo,0.8386353168249865,-0.42117774652920587,-1.57130354459409,-0.7198296443245205,-0.9364144367073081,0.10273442696697856,-1.632959939048123
Casanare,2022,mayo,2022-05-01,Casanare_2022_mayo,-0.731989867234651,1.284092177478332,-1.0969947709055392,1.2525286839831824,-0.13711940327669447,-1.130967300138048,-1.741074065713876
Cauca,2022,mayo,2022-05-01,Cauca_2022_mayo,1.8730010891047892,0.11354138180198119,-4.919933313629492,0.9165289703564892,-0.9865701896275247,0.6125610757596301,0.2546119116401427
Cesar,2022,mayo,2022-05-01,Cesar_2022_mayo,3.583491978613965,3.879986162702035,1.352955114881125,1.390563732516056,-0.5893298752211005,-1.8097851896772874,-0.8229437744043845
Choco,2022,mayo,2022-05-01,Choco_2022_mayo,9.068854874673761,2.676935378134681,-2.982548428735271,1.453657044868554,1.2001558436135165,-2.6259660361348542,0.7840360432869526
Cundinamarca,2022,mayo,2022-05-01,Cundinamarca_2022_mayo,-1.882593033512226,3.4953695613210387,0.35510454991454415,4.975019584482874,1.8462929776320567,0.7007511763626563,-0.08938832663343631
Cordoba,2022,mayo,2022-05-01,Cordoba_2022_mayo,3.902065976753308,0.5112260508842221,-2.2609018923264994,-1.459363881766947,-1.5490153073110098,-2.1290222928644504,0.6379150822251894
Guainia,2022,mayo,2022-05-01,Guainia_2022_mayo,5.903749219502924,-6.11775670211499,-0.6952735688151088,1.7566654753045543,1.821477893543949,-0.9600385945834577,-2.6256990135283846
