departamento,año,mes,fecha,clave,PC1,PC2,PC3,PC4,PC5,PC6,PC7,FIES_moderado_grave,FIES_grave
Cundinamarca,2022,abril,2022-04-01,Cundinamarca_2022_abril,-1.9535732911071464,3.417590362617574,0.2185653027688704,4.973851924917168,1.8614291477165397,0.6414028890340329,-0.0708384836336366,23.0,3.7
Cordoba,2022,abril,2022-04-01,Cordoba_2022_abril,3.960864825767716,0.4370167074271314,-2.347274391742652,-1.325158773022316,-1.3982043390304353,-2.404366373034852,0.3278286418372605,38.9,8.1
Guainia,2022,abril,2022-04-01,Guainia_2022_abril,5.875254825904745,-5.902985677273112,-0.475454365598221,1.6423952495055842,1.6774509394614052,-0.843528844195069,-2.406777945928451,29.8,4.4
Guaviare,2022,abril,2022-04-01,Guaviare_2022_abril,6.753864172968199,4.188791872861509,1.5708063509273609,2.0360748754425564,3.7764357189799913,3.0289390770321365,-0.8790590198697626,30.4,6.2
Huila,2022,abril,2022-04-01,Huila_2022_abril,0.0704484523864508,1.5864020839750328,-1.3105664488410502,0.260652603964895,-0.2928505267341295,-0.3930248102694688,0.2517818408758218,19.0,2.4
Guajira,2022,abril,2022-04-01,Guajira_2022_abril,7.2629796077498465,-1.496093721057686,-0.3710396584648768,1.731960715350362,-3.456505981342104,-2.4988362617809785,-3.369385758075052,59.7,17.5
Magdalena,2022,abril,2022-04-01,Magdalena_2022_abril,4.9613597837074215,3.8492163328535582,1.8555292993028625,-0.0341574160748619,-0.8200338405837564,-1.826816251551626,-0.2558727256359677,45.3,10.4
Meta,2022,abril,2022-04-01,Meta_2022_abril,-1.99860510199484,0.1939266930991914,-0.3109776249258949,1.1231574217664586,0.4375777899665093,-0.7560338132469967,-1.7570180342451014,25.5,4.1
Narino,2022,abril,2022-04-01,Narino_2022_abril,5.298365485049801,4.378791021261863,-4.896066757232555,2.346964957073428,0.6897645815322563,0.7858775863404721,0.0103937241630285,37.1,7.4
Norte De Santander,2022,abril,2022-04-01,Norte De Santander_2022_abril,-1.8079546202033236,-0.7087278020678134,0.2107914878156094,0.5134855679509596,-1.2921298651894215,0.3655903857648103,-1.738478907452287,25.8,2.9
Putumayo,2022,abril,2022-04-01,Putumayo_2022_abril,2.9871114679102884,-0.2239344791080468,-5.376659776161411,1.5123950176623957,0.0480790363861159,1.415055384273227,-2.047148555684806,24.4,3.0
Quindio,2022,abril,2022-04-01,Quindio_2022_abril,-5.9250788499261695,-1.4254967755796122,-0.6036407285936335,1.3521159353673862,-0.2675398138862064,-0.9708064341668328,-0.0492748080838872,17.3,2.2
Risaralda,2022,abril,2022-04-01,Risaralda_2022_abril,-6.4523829559745804,-1.898729883399849,0.8351537775049265,0.9847278465006292,0.4293597236464062,-0.5510330154094373,0.1504614680731981,17.5,2.5
Santander,2022,abril,2022-04-01,Santander_2022_abril,-3.463212395618661,-0.5326499218074362,-0.5216508377372581,1.1184259559420642,-0.2907527794199178,-1.4117686474169049,-0.6821794946322902,20.5,2.5
Sucre,2022,abril,2022-04-01,Sucre_2022_abril,6.6813521677581775,5.272549348754342,2.2556712558957,-1.6327850800044656,0.3686912819854183,-0.7220941114032855,0.0772877799444287,47.9,10.4
Tolima,2022,abril,2022-04-01,Tolima_2022_abril,-1.837558786331488,1.2182216849664256,-1.5619827187685156,1.2114783201851056,-0.2112288794297761,-0.6139791733661989,0.8000951724881775,27.4,3.3
Valle Del Cauca,2022,abril,2022-04-01,Valle Del Cauca_2022_abril,-3.7257170436301714,1.5266475109539432,0.3213975002126927,3.124275350701684,0.5071649860592734,-0.6171665146770892,-0.4042765206408936,28.0,4.5
Vaupes,2022,abril,2022-04-01,Vaupes_2022_abril,8.533185221103789,-2.778187048131457,-2.9798140244544946,2.541423483252097,5.8080569766478565,-2.785086645504421,1.98852437018608,36.5,8.7
Vichada,2022,abril,2022-04-01,Vichada_2022_abril,11.389673903553152,-7.80672867299333,1.1983507421194743,4.654316205258284,-3.265191748683547,-2.4010853173644384,1.662607459399586,30.7,9.2
Amazonas,2022,mayo,2022-05-01,Amazonas_2022_mayo,1.4138431060225674,-7.15910732279616,0.54357293990385,-2.0901634026781566,2.855872259282354,-2.2454332290869514,-3.918184433578774,18.6,3.4
Antioquia,2022,mayo,2022-05-01,Antioquia_2022_mayo,-4.820380393654757,-0.7196426876291755,0.5057246008177589,1.2251057966822154,0.4838635155711434,-2.019135091762388,0.2217533082616402,20.9,3.3
Arauca,2022,mayo,2022-05-01,Arauca_2022_mayo,3.911546161709406,1.345098175189747,0.7328767118600386,0.1380033242904261,0.0622504551409909,-0.344000365097747,-1.456701317266207,39.3,11.0
Atlantico,2022,mayo,2022-05-01,Atlantico_2022_mayo,0.4855411767328516,5.518738781030662,3.712343412318128,1.2823720049016216,0.8971155796134384,-1.7124798128013248,-0.3198332024282437,46.1,8.3
Bogotá,2022,mayo,2022-05-01,Bogotá_2022_mayo,-6.885577408012239,1.6348232941899543,0.3642339421153156,6.524272537231922,1.7271930538330165,0.0217224420158811,-1.4290361638683835,25.4,4.2
