departamento,año,mes,fecha,Analfabetismo,Bajo_logro_educativo,Barreras_acceso_salud,Desempleo_larga_duracion,Inasistencia_escolar,Rezago_escolar,Sin_aseguramiento_salud,Trabajo_informal,IPM_Total,Vida_general,Salud,Seguridad,Trabajo_actividad,Tiempo_libre,Ingreso,Propia_totalmente_pagada,Propia_la_estan_pagando,En_arriendo_o_subarriendo,Con_permiso_sin_pago,Posesion_sin_titulo,Propiedad_colectiva,Deficit_cuantitativo,Deficit_cualitativo,Deficit_habitacional,No_alcanzan_gastos_minimos,Alcanzan_gastos_minimos,Cubren_mas_gastos_minimos,Pobreza_monetaria,No_pobres,Energia,Gas_natural,Acueducto,Alcantarillado,Recoleccion_basura,Telefono_fijo,Ningun_servicio,precipitacion_promedio,temperatura_promedio,ndvi_promedio,IPC_Total,FIES_preocupacion_alimentos,FIES_no_alimentos_saludables,FIES_poca_variedad_alimentos,FIES_saltar_comida,FIES_comio_menos,FIES_sin_alimentos,FIES_hambre_sin_comer,FIES_no_comio_dia_entero,FIES_leve_moderado,FIES_grave,FIES_moderada,FIES_inseguridad_alimentaria
Bogotá,2022,febrero,2022-02-01,1.8,21.7,4.3,12.1,1.3,18.8,13.1,54.2,3.8,7.8,7.7,6.4,6.8,7.1,6.6,31.2,7.5,52.7,6.7,1.0,1.0,1.4,9.8,11.2,28.5,56.8,14.7,32.3,67.7,100.0,93.5,99.6,99.1,99.6,41.1,0.0,4.418555125505311,18.1312225172363,0.5006145078924283,138.3,,,,,,,,,25.4,4.2,21.2,moderado
Bolivar,2022,febrero,2022-02-01,12.4,45.8,0.3,12.1,3.0,28.9,5.5,83.7,19.4,8.3,8.2,7.7,7.6,7.8,7.2,35.6,1.2,25.7,16.3,15.0,6.3,14.3,44.8,59.1,61.7,32.9,5.4,66.9,33.1,98.5,67.2,86.1,50.8,75.7,8.8,1.0,2.090555145427241,27.95975963963942,0.612837285471455,135.01,,,,,,,,,32.6,5.1,27.5,moderado
Boyaca,2022,febrero,2022-02-01,6.3,48.3,2.0,16.0,2.0,23.0,5.2,77.5,9.6,7.5,7.2,7.3,6.7,6.8,6.0,36.8,4.1,38.4,15.6,2.6,2.5,2.8,21.2,24.0,36.8,59.3,3.9,43.4,56.6,99.4,63.3,89.5,65.6,67.1,2.3,0.3,3.303336138430736,16.47237099653382,0.5931053129794059,138.13,,,,,,,,,20.7,2.1,18.6,moderado
Caldas,2022,febrero,2022-02-01,7.4,45.8,1.5,18.2,1.3,20.7,6.3,68.4,10.5,8.4,8.1,8.3,7.9,7.9,7.3,34.9,6.5,40.7,15.3,1.6,1.0,2.9,18.6,21.4,32.2,56.2,11.6,33.4,66.6,99.8,70.6,92.1,83.6,86.6,20.4,0.1,9.40635002400885,18.45708270000209,0.6459898484744724,139.2,,,,,,,,,14.6,2.5,12.1,leve
Caqueta,2022,febrero,2022-02-01,11.1,58.0,1.7,11.4,4.7,30.6,6.3,89.2,19.6,8.1,7.8,7.5,7.1,7.1,6.5,28.5,1.9,37.2,24.7,7.2,0.4,24.3,22.9,47.2,39.7,57.2,3.1,69.1,30.9,97.4,46.4,80.6,64.1,74.9,2.4,2.2,9.31011561648057,25.63501632573337,0.6728788714582146,146.2,,,,,,,,,27.2,3.2,24.0,moderado
Casanare,2022,febrero,2022-02-01,5.5,45.8,1.1,11.9,3.3,26.8,8.7,80.0,13.3,8.2,7.6,7.1,6.9,6.9,6.3,37.9,2.1,42.1,14.3,3.1,0.7,7.2,24.2,31.4,47.3,48.8,3.9,46.5,53.5,97.2,83.8,82.2,70.8,78.5,1.5,1.7,1.674357129776747,28.82000798245623,0.4828709053703193,134.79,,,,,,,,,28.2,4.3,23.9,moderado
Cauca,2022,febrero,2022-02-01,9.5,59.9,3.1,14.7,2.8,22.5,5.3,88.9,18.3,7.5,7.3,6.8,6.6,6.7,5.9,37.4,1.8,19.9,23.3,9.3,8.4,12.4,37.8,50.2,50.6,46.4,3.0,58.3,41.7,97.3,26.5,74.8,40.5,42.6,4.8,2.3,10.32407982188994,17.62499935808367,0.5541192533888244,149.1,,,,,,,,,22.3,2.8,19.5,moderado
Cesar,2022,febrero,2022-02-01,14.0,45.5,0.4,9.9,4.4,32.9,9.8,84.6,19.1,7.9,7.8,6.7,6.7,7.1,6.3,31.7,1.8,38.0,18.4,5.9,4.1,7.9,38.6,46.5,65.4,31.5,3.1,70.5,29.5,98.2,68.5,87.8,74.1,78.1,9.3,1.6,0.9891626374012178,27.86123642299777,0.5529414655969356,137.72,,,,,,,,,41.1,9.4,31.7,severo
Choco,2022,febrero,2022-02-01,21.9,58.9,2.2,19.4,4.0,35.8,3.5,92.1,36.8,7.2,7.2,6.4,6.2,6.7,6.2,61.0,0.6,19.3,16.7,1.4,1.0,43.5,40.8,84.3,68.3,29.4,2.2,83.4,16.6,91.4,0.0,41.1,21.8,50.9,1.7,8.1,19.88685204341693,25.38877732240062,0.5585077107191649,134.79,,,,,,,,,43.2,10.4,32.8,severo
Cundinamarca,2022,febrero,2022-02-01,4.2,38.1,2.3,15.4,2.0,24.1,8.9,67.0,7.3,7.8,7.5,6.9,6.7,6.9,6.3,28.2,9.9,47.4,11.3,1.6,1.6,2.3,16.0,18.3,47.1,48.6,4.3,39.2,60.8,99.7,77.4,96.2,80.0,87.1,11.9,0.1,4.418555125505311,18.1312225172363,0.5006145078924283,138.3,,,,,,,,,23.0,3.7,19.3,moderado
Cordoba,2022,febrero,2022-02-01,18.1,55.6,1.3,16.2,2.0,26.5,3.1,89.8,26.9,7.6,7.7,7.5,6.9,7.2,6.2,40.0,1.0,19.6,19.9,18.7,0.8,21.3,39.3,60.6,66.2,31.5,2.2,83.7,16.3,99.7,49.0,71.0,43.1,55.9,3.6,0.2,2.611053042490096,29.09647138925753,0.5467041829839321,136.22,,,,,,,,,38.9,8.1,30.8,severo
